dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
1.925,316.8,-0.12,15.08,70.0,70,osm,48.84292,12.95739
1.95,316.8,-0.1,7.33,70.0,70,osm,48.84308,12.95716
1.975,316.7,-0.08,10.72,70.0,70,osm,48.84325,12.95692
2.0,316.7,-0.05,8.9,70.0,70,osm,48.84341,12.95669
2.025,316.7,-0.03,9.14,70.0,70,osm,48.84357,12.95645
2.05,316.6,0.0,13.42,70.0,70,osm,48.84375,12.95623
2.075,316.6,0.02,13.96,70.0,70,osm,48.84393,12.95604
2.1,316.7,0.04,12.87,70.0,70,osm,48.84412,12.95585
2.125,316.7,0.05,10.47,70.0,70,osm,48.84431,12.95568
2.15,316.7,0.07,11.47,70.0,70,osm,48.84452,12.95553
2.175,316.8,0.09,12.21,70.0,70,osm,48.84472,12.95539
2.2,316.8,0.11,12.12,70.0,70,osm,48.84493,12.95527
2.225,316.9,0.13,10.31,70.0,70,osm,48.84514,12.95515
2.25,316.9,0.14,9.91,70.0,70,osm,48.84536,12.95507
2.275,316.9,0.16,12.15,70.0,70,osm,48.84558,12.95501
2.3,316.9,0.18,7.02,70.0,70,osm,48.8458,12.95494
2.325,316.9,0.2,8.08,70.0,70,osm,48.84602,12.95489
2.35,317.0,0.22,8.39,70.0,70,osm,48.84625,12.95486
2.375,317.0,0.24,9.74,70.0,70,osm,48.84647,12.95483
2.4,317.1,0.26,5.65,70.0,70,osm,48.8467,12.95483
2.425,317.2,0.27,7.03,70.0,70,osm,48.84692,12.95482
2.45,317.3,0.26,6.69,70.0,70,stvo,48.84715,12.95484
2.475,317.4,0.24,7.64,70.0,70,osm,48.84737,12.95486
2.5,317.5,0.21,5.93,70.0,70,osm,48.84759,12.95488
2.525,317.6,0.17,7.12,70.0,70,osm,48.84782,12.95492
2.55,317.7,0.12,7.67,70.0,70,osm,48.84804,12.95498
2.575,317.7,0.06,5.85,70.0,70,osm,48.84826,12.95504
2.6,317.7,0.01,4.84,70.0,70,osm,48.84848,12.95511
2.625,317.7,-0.05,7.98,70.0,70,stvo,48.8487,12.95519
2.65,317.6,-0.1,6.79,70.0,70,osm,48.84892,12.95527
2.675,317.5,-0.14,4.81,70.0,70,osm,48.84913,12.95536
2.7,317.5,-0.17,6.46,70.0,70,osm,48.84934,12.95548
2.725,317.4,-0.19,6.93,70.0,70,osm,48.84956,12.9556
2.75,317.3,-0.18,2.96,70.0,70,osm,48.84977,12.95572
2.775,317.3,-0.15,2.96,70.0,70,osm,48.84997,12.95585
2.8,317.2,-0.11,3.11,70.0,70,stvo,48.85018,12.95598
2.825,317.2,-0.04,1.67,70.0,70,stvo,48.85039,12.95612
2.85,317.1,0.05,0.45,74.9,100,osm,48.85059,12.95626
2.875,317.1,0.14,0.97,70.0,70,osm,48.8508,12.9564
2.9,317.2,0.24,2.62,70.0,70,stvo,48.851,12.95654
2.925,317.2,0.34,3.84,70.0,70,osm,48.85121,12.95668
2.95,317.3,0.44,3.95,70.0,70,osm,48.85141,12.95683
2.975,317.4,0.56,4.15,70.0,70,osm,48.85162,12.95696
3.0,317.6,0.69,4.01,70.0,70,osm,48.85182,12.9571
3.025,317.8,0.82,2.36,70.0,70,osm,48.85202,12.95725
3.05,318.0,0.97,0.89,70.0,70,osm,48.85223,12.95739
3.075,318.3,1.11,1.94,70.0,70,osm,48.85243,12.95754
3.1,318.5,1.25,3.28,70.0,70,osm,48.85263,12.95768
3.125,318.8,1.38,2.9,70.0,70,osm,48.85284,12.95783
3.15,319.2,1.5,2.9,70.0,70,osm,48.85304,12.95797
3.175,319.6,1.6,2.9,74.9,100,stvo,48.85325,12.9581
3.2,320.1,1.7,2.44,79.5,100,stvo,48.85346,12.95822
3.225,320.5,1.8,2.78,77.1,100,stvo,48.85367,12.95835
3.25,321.0,1.88,3.44,70.0,70,osm,48.85388,12.95848
