dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
13.45,745.4,-5.06,5.83,88.0,100,stvo,48.88031,13.09054
13.475,744.1,-5.29,4.48,88.0,100,osm,48.8805,13.09073
13.5,742.7,-5.49,6.62,88.0,100,osm,48.88069,13.09092
13.525,741.3,-5.66,9.53,88.0,100,osm,48.88089,13.09107
13.55,739.9,-5.77,9.53,88.0,100,osm,48.88109,13.09123
13.575,738.4,-5.83,5.48,88.0,100,osm,48.88129,13.09138
13.6,736.8,-5.85,5.48,88.0,100,stvo,48.8815,13.0915
13.625,735.2,-5.81,2.92,88.0,100,stvo,48.88171,13.09162
13.65,733.6,-5.69,2.75,88.0,100,stvo,48.88192,13.09174
13.675,732.0,-5.5,9.71,88.0,100,stvo,48.88213,13.09186
13.7,730.5,-5.25,9.71,88.0,100,osm,48.88234,13.09198
13.725,729.1,-4.95,9.71,88.0,100,osm,48.88255,13.09209
13.75,727.8,-4.61,9.71,88.0,100,stvo,48.88278,13.09214
13.775,726.7,-4.25,6.97,88.0,100,stvo,48.883,13.09219
13.8,725.6,-3.88,2.43,88.0,100,stvo,48.88322,13.09224
13.825,724.8,-3.53,5.07,88.0,100,stvo,48.88344,13.09229
13.85,724.1,-3.22,5.07,88.0,100,osm,48.88367,13.09235
13.875,723.5,-2.94,5.07,88.0,100,osm,48.88389,13.09238
13.9,723.0,-2.71,5.91,88.0,100,stvo,48.88411,13.0924
13.925,722.5,-2.52,3.55,88.0,100,osm,48.88434,13.09241
13.95,722.0,-2.39,1.23,88.0,100,osm,48.88456,13.09242
13.975,721.4,-2.31,2.19,88.0,100,osm,48.88479,13.09243
14.0,720.9,-2.27,3.56,88.0,100,osm,48.88501,13.09244
14.025,720.3,-2.27,2.72,88.0,100,osm,48.88524,13.09244
14.05,719.7,-2.3,2.95,88.0,100,osm,48.88546,13.09244
14.075,719.1,-2.35,3.68,88.0,100,stvo,48.88569,13.09243
14.1,718.5,-2.39,2.72,88.0,100,osm,48.88591,13.09242
14.125,717.9,-2.43,1.38,88.0,100,osm,48.88614,13.0924
14.15,717.3,-2.45,2.68,88.0,100,stvo,48.88636,13.09238
14.175,716.7,-2.49,2.49,88.0,100,osm,48.88659,13.09236
14.2,716.1,-2.51,1.73,88.0,100,osm,48.88681,13.09234
14.225,715.5,-2.51,2.51,88.0,100,osm,48.88703,13.09231
14.25,714.8,-2.5,3.3,88.0,100,osm,48.88726,13.09227
14.275,714.2,-2.45,2.0,88.0,100,osm,48.88748,13.09224
14.3,713.5,-2.36,1.9,88.0,100,osm,48.8877,13.0922
14.325,712.8,-2.23,1.62,88.0,100,stvo,48.88793,13.09215
14.35,712.2,-2.06,3.02,88.0,100,osm,48.88815,13.0921
14.375,711.6,-1.86,2.97,88.0,100,osm,48.88837,13.09206
14.4,711.0,-1.65,3.26,88.0,100,osm,48.88859,13.09201
14.425,710.5,-1.41,3.26,88.0,100,osm,48.88882,13.09195
14.45,710.2,-1.16,3.24,88.0,100,osm,48.88904,13.09188
14.475,710.0,-0.89,1.08,88.0,100,osm,48.88926,13.09181
14.5,709.9,-0.62,0.42,88.0,100,stvo,48.88948,13.09173
14.525,709.9,-0.35,0.13,88.0,100,osm,48.8897,13.09166
14.55,709.9,-0.1,0.14,88.0,100,osm,48.88992,13.09159
14.575,709.9,0.12,0.14,88.0,100,osm,48.89014,13.09152
14.6,710.0,0.28,0.27,88.0,100,osm,48.89036,13.09145
14.625,710.2,0.38,0.23,88.0,100,osm,48.89058,13.09138
14.65,710.3,0.44,0.22,88.0,100,osm,48.8908,13.09131
14.675,710.5,0.47,2.12,88.0,100,osm,48.89102,13.09124
14.7,710.7,0.48,4.55,88.0,100,stvo,48.89124,13.09117
14.725,710.9,0.47,4.41,88.0,100,osm,48.89146,13.09111
14.75,711.1,0.43,4.51,88.0,100,osm,48.89168,13.09105
14.775,711.2,0.36,7.91,88.0,100,stvo,48.8919,13.09102
14.8,711.2,0.26,6.01,88.0,100,osm,48.89213,13.09098
14.825,711.3,0.12,3.78,88.0,100,osm,48.89235,13.09094
14.85,711.3,-0.03,8.17,88.0,100,osm,48.89257,13.09093
14.875,711.3,-0.2,8.0,88.0,100,osm,48.8928,13.09092
14.9,711.3,-0.38,4.6,88.0,100,osm,48.89302,13.09092
