dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
6.925,356.5,6.18,17.37,70.0,70,osm,48.88536,12.96652
6.95,358.1,6.27,18.14,70.0,70,osm,48.88557,12.96665
6.975,359.6,6.35,19.89,70.0,70,osm,48.88576,12.96681
7.0,361.2,6.4,18.04,70.0,70,osm,48.88595,12.96699
7.025,362.8,6.41,13.69,70.0,70,osm,48.88613,12.9672
7.05,364.5,6.4,10.23,70.0,70,osm,48.8863,12.96743
7.075,366.2,6.39,9.67,70.0,70,osm,48.88646,12.96766
7.1,367.9,6.39,9.47,70.0,70,osm,48.88662,12.96791
7.125,369.5,6.4,13.64,70.0,70,osm,48.88678,12.96814
7.15,371.1,6.38,19.23,70.0,70,osm,48.88695,12.96837
7.175,372.7,6.34,23.96,70.0,70,osm,48.88713,12.96857
7.2,374.2,6.28,28.1,70.0,70,osm,48.88733,12.96873
7.225,375.7,6.21,28.63,70.0,70,osm,48.88754,12.96885
7.25,377.2,6.12,23.01,70.0,70,osm,48.88776,12.96893
7.275,378.8,6.03,18.16,70.0,70,osm,48.88798,12.96897
7.3,380.3,5.93,15.82,70.0,70,osm,48.88821,12.96897
7.325,381.9,5.84,17.41,70.0,70,osm,48.88843,12.96897
7.35,383.4,5.74,17.35,70.0,70,osm,48.88866,12.96897
7.375,384.9,5.63,23.91,70.0,70,osm,48.88888,12.969
7.4,386.3,5.51,28.49,70.0,70,osm,48.8891,12.96909
7.425,387.6,5.39,32.1,70.0,70,osm,48.88931,12.96922
7.45,388.9,5.3,30.64,70.0,70,osm,48.8895,12.96939
7.475,390.2,5.22,34.47,68.8,70,osm,48.88968,12.96959
7.5,391.4,5.16,32.38,70.0,70,osm,48.88984,12.96983
7.525,392.6,5.12,32.72,70.0,70,osm,48.88997,12.97011
7.55,393.8,5.13,27.96,70.0,70,osm,48.89007,12.97041
7.575,395.0,5.18,22.74,70.0,70,osm,48.89014,12.97074
7.6,396.2,5.25,15.25,70.0,70,osm,48.89019,12.97107
7.625,397.5,5.33,10.79,70.0,70,osm,48.89023,12.97141
7.65,398.8,5.45,6.12,70.0,70,osm,48.89026,12.97175
7.675,400.2,5.58,7.12,70.0,70,osm,48.89029,12.97209
7.7,401.7,5.72,6.79,70.0,70,stvo,48.89031,12.97242
7.725,403.2,5.88,8.39,70.0,70,osm,48.89034,12.97276
7.75,404.7,6.05,11.24,70.0,70,osm,48.89039,12.9731
7.775,406.2,6.24,12.45,70.0,70,osm,48.89044,12.97343
7.8,407.7,6.42,10.8,70.0,70,osm,48.89051,12.97376
7.825,409.3,6.61,11.9,70.0,70,osm,48.89059,12.97408
7.85,410.9,6.78,10.93,70.0,70,osm,48.89068,12.97439
7.875,412.6,6.94,10.23,70.0,70,stvo,48.89077,12.9747
7.9,414.4,7.11,10.12,70.0,70,stvo,48.89088,12.975
7.925,416.2,7.3,11.12,70.0,70,osm,48.891,12.97529
7.95,418.1,7.47,10.99,70.0,70,osm,48.89112,12.97558
7.975,420.0,7.62,11.14,70.0,70,osm,48.89125,12.97585
8.0,422.0,7.75,11.56,70.0,70,osm,48.8914,12.97612
8.025,424.0,7.85,11.55,70.0,70,osm,48.89155,12.97637
8.05,426.0,7.92,11.63,70.0,70,osm,48.8917,12.97662
8.075,428.1,7.96,11.76,70.0,70,osm,48.89187,12.97684
8.1,430.1,7.99,13.38,70.0,70,osm,48.89205,12.97706
8.125,432.2,8.01,11.97,70.0,70,osm,48.89223,12.97726
8.15,434.2,8.01,10.19,70.0,70,osm,48.89241,12.97745
8.175,436.2,7.99,10.8,70.0,70,osm,48.89261,12.97761
8.2,438.1,7.95,9.16,70.0,70,osm,48.89281,12.97777
