dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,lat,lon
53.125,695.6,0.74,13.38,72.6,100,49.20443,13.00684
53.15,695.8,0.74,24.68,67.1,100,49.20451,13.00715
53.175,696.0,0.74,31.13,61.0,100,49.2046,13.00747
53.2,696.1,0.74,55.48,54.3,100,49.20474,13.00774
53.225,696.3,0.74,58.3,52.9,100,49.20492,13.00795
53.25,696.5,0.74,48.99,57.7,100,49.20507,13.0082
53.275,696.7,0.74,41.77,62.5,100,49.20511,13.00853
53.3,696.9,0.74,35.93,67.4,100,49.20515,13.00887
53.325,697.1,0.74,11.46,73.0,100,49.20519,13.00921
53.35,697.2,0.74,11.92,78.1,100,49.20525,13.00954
53.375,697.4,0.74,11.93,82.9,100,49.20532,13.00987
53.4,697.6,0.74,9.25,87.5,100,49.20539,13.0102
53.425,697.8,0.74,10.52,88.0,100,49.20544,13.01053
53.45,698.0,0.74,12.22,88.0,100,49.20548,13.01087
53.475,698.2,0.74,10.42,88.0,100,49.20551,13.01121
53.5,698.4,0.74,8.85,88.0,100,49.20553,13.01155
53.525,698.5,0.74,7.78,88.0,100,49.20554,13.0119
53.55,698.7,0.74,9.41,88.0,100,49.20556,13.01224
53.575,698.9,0.74,10.33,88.0,100,49.20559,13.01258
53.6,699.1,0.74,8.72,88.0,100,49.20561,13.01292
53.625,699.3,0.74,9.15,88.0,100,49.20566,13.01326
53.65,699.5,0.74,8.64,88.0,100,49.20572,13.01359
53.675,699.7,0.74,6.0,88.0,100,49.20579,13.01392
53.7,699.8,0.74,6.8,88.0,100,49.20585,13.01425
53.725,700.0,0.74,12.21,88.0,100,49.20592,13.01458
53.75,700.2,0.74,13.06,88.0,100,49.20598,13.01491
53.775,700.4,0.74,13.27,88.0,100,49.20603,13.01525
53.8,700.6,0.74,11.61,88.0,100,49.20604,13.01559
53.825,700.8,0.74,8.72,88.0,100,49.20605,13.01593
53.85,701.0,0.74,10.38,88.0,100,49.20605,13.01628
53.875,701.1,0.74,13.27,88.0,100,49.20605,13.01662
53.9,701.3,0.74,15.78,88.0,100,49.20606,13.01696
53.925,701.5,0.74,15.67,88.0,100,49.2061,13.0173
53.95,701.7,0.74,15.11,88.0,100,49.20617,13.01763
53.975,701.9,0.74,7.56,88.0,100,49.20625,13.01795
54.0,702.1,0.74,2.72,88.0,100,49.20633,13.01828
54.025,702.3,0.74,1.38,88.0,100,49.2064,13.0186
54.05,702.4,0.74,4.61,84.6,100,49.20648,13.01892
54.075,702.6,0.74,5.32,79.9,100,49.20656,13.01924
54.1,702.8,0.74,5.72,74.9,100,49.20663,13.01957
54.125,703.0,0.74,10.45,69.5,100,49.20669,13.0199
54.15,703.2,0.74,15.84,63.7,100,49.20675,13.02023
54.175,703.4,0.74,15.15,57.3,100,49.2068,13.02057
54.2,703.6,0.74,15.48,50.0,50,49.20683,13.02091
54.225,703.7,0.74,15.28,50.0,50,49.20682,13.02125
54.25,703.9,0.74,10.71,50.0,50,49.20681,13.0216
54.275,704.1,0.74,4.01,50.0,50,49.20678,13.02194
54.3,704.3,0.74,1.54,50.0,50,49.20676,13.02228
54.325,704.5,0.74,0.5,50.0,50,49.20674,13.02262
54.35,704.7,0.74,0.3,50.0,50,49.20672,13.02297
54.375,704.8,0.74,1.85,50.0,50,49.2067,13.02331
54.4,705.0,0.74,4.57,50.0,50,49.20668,13.02365
54.425,705.2,0.74,6.58,50.0,50,49.20666,13.024
54.45,705.4,0.74,7.38,50.0,50,49.20664,13.02434
54.475,705.6,0.74,7.38,50.0,50,49.20664,13.02468
54.5,705.8,0.74,9.6,50.0,50,49.20666,13.02503
54.525,706.0,0.74,8.69,50.0,50,49.20667,13.02537
54.55,706.1,0.74,8.55,50.0,50,49.20669,13.02571
54.575,706.3,0.74,7.85,50.0,50,49.20672,13.02605
54.6,706.5,0.74,7.95,50.0,50,49.20676,13.02639
54.625,706.7,0.74,6.21,50.0,50,49.20681,13.02673
54.65,706.9,0.74,4.41,50.0,50,49.20687,13.02706
54.675,707.1,0.74,2.88,50.0,50,49.20692,13.02739
54.7,707.3,0.74,8.11,50.0,50,49.20698,13.02772
54.725,707.4,0.74,12.56,50.0,50,49.20705,13.02805
54.75,707.6,0.7,11.27,50.0,50,49.20711,13.02838
